"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints10","timepoints11","timepoints12","timepoints13"
"SSTR2",0.400480987611383,-0.20848702733646,-0.242755273823088,-0.0640643458559968,0.103301180738995,0.124578395334627,-0.242755273823088,0.48199305596516,-0.242755273823088,-0.242755273823088,0.938185272831868
"SSTR5-AS1",-0.112025898891908,-0.112025898891908,-0.0522471695987231,-0.112025898891908,-0.00719549050259347,-0.112025898891908,-0.112025898891908,-0.0232097716842431,-0.112025898891908,-0.112025898891908,-0.112025898891908
"SSUH2",-0.0845436616818782,-0.0845436616818782,-0.0529121304825576,-0.0371918042860101,-0.0845436616818782,0.40709728926699,-0.0845436616818782,0.0410097404280029,-0.0845436616818782,-0.0845436616818782,-0.0845436616818782
"STAB1",-0.263579571470103,-0.263579571470103,-0.232222486761159,-0.259527275160188,-0.263579571470103,-0.263579571470103,-0.263579571470103,-0.0589166379977805,-0.263579571470103,-0.263579571470103,-0.263579571470103
"STAM-AS1",-0.194223469079005,0.3557932243965,-0.0267781541838579,0.151362746924705,-0.194223469079005,0.364800239268716,-0.194223469079005,0.430750933195049,-0.194223469079005,-0.194223469079005,0.59447308211636
"STARD9",0.105964274666004,-0.154066852701985,-0.160591753929013,0.265443885290787,-0.160591753929013,0.0688825700700115,-0.160591753929013,1.13168896839774,-0.160591753929013,-0.160591753929013,-0.160591753929013
"STC1",-0.00515709152134689,-0.125102652417473,-0.258501136496188,-0.0769979462139617,-0.190502477516354,0.0581266474161298,-0.308772340648288,0.0406722587541434,-0.308772340648288,-0.0287635600336559,-0.100281219332685
"STK17B",-0.505716077984769,-0.326413170112603,-0.281704032783772,-0.0635579554576045,-0.399038928072414,-0.0344578008886214,-0.520302940660198,-0.402640760824888,-0.520302940660198,-0.520302940660198,-0.364817624598764
"STK31",-0.0581630868578986,-0.0581630868578986,-0.0581630868578986,-0.029728805905418,-0.0581630868578986,-0.0581630868578986,-0.0581630868578986,-0.0581630868578986,-0.0581630868578986,-0.0581630868578986,-0.0581630868578986
"STKLD1",-0.107625410902236,0.168834823327122,-0.107625410902236,0.244331980263929,0.355194924352268,-0.107625410902236,-0.107625410902236,-0.107625410902236,-0.107625410902236,-0.107625410902236,-0.107625410902236
"STMN2",0.988532525759285,1.36927954470241,2.14504137712199,0.513624111614243,0.188991006192601,0.906824756543226,0.340255571112488,3.52396050745757,1.05832921239268,-0.344373918124903,-0.307426974188762
"STMN4",0.802917256504225,0.396692666336831,1.20061548417474,1.04592616564107,0.139019843735618,0.411732187529452,-0.318268620718734,2.04696486332766,2.57673652574465,-0.318268620718734,-0.318268620718734
"STMND1",-0.164167040086575,0.875203572974314,0.375413365855909,0.474482975207652,0.86780392260747,0.465762220759329,-0.164167040086575,0.731140517017679,-0.164167040086575,-0.164167040086575,-0.164167040086575
"STOML3",-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236,-0.0310538497995236
"STPG2-AS1",-0.0667788683747432,0.0489312335605987,0.363956574457038,0.118402274971609,-0.0667788683747432,0.605684213468125,-0.0667788683747432,-0.0667788683747432,-0.0667788683747432,-0.0667788683747432,-0.0667788683747432
"STRC",-0.0878890150157059,-0.0713409387104025,0.0589790092289288,0.0452543322535554,-0.118997881277684,-0.118997881277684,-0.118997881277684,-0.0584923009470355,-0.118997881277684,-0.118997881277684,-0.118997881277684
"STX11",-0.26558237550279,-0.25040005887351,-0.0866799928926502,-0.205068703038249,-0.26558237550279,-0.26558237550279,-0.0780154980116239,0.858473776348737,-0.26558237550279,-0.26558237550279,-0.0909793326164452
"STX2",-0.126311854808131,-0.0428600514820533,0.3594172804496,0.517424728768401,0.0963103848464094,0.527051644588709,0.360587998352122,0.826915693558978,0.332333001897199,0.68378518192393,-0.18561104580871
"STXBP6",-0.139870792866139,-0.127829846809542,0.230049601775941,-0.108049229483058,0.0621222456970067,-0.139870792866139,-0.139870792866139,0.00581930555821948,-0.139870792866139,1.1897441005053,-0.139870792866139
"STYX",-0.312324882750779,-0.132354658203196,0.05129238804598,-0.176856602397917,-0.2161603653903,-0.174498439477306,-0.32974510220971,0.853812039726565,0.624082458061674,-0.32974510220971,-0.32974510220971
"SUCNR1",-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697,-0.0531172939069697
"SULF1",0.550963279211006,-0.414430979768885,-0.446641829236997,-0.390906765848481,-0.464362296646549,-0.323316791773719,-0.389650639089122,-0.462808664130971,-0.0518514001639615,-0.296438478326325,-0.501579584499019
"SULT1B1",-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899,-0.0643754569142899
"SULT1E1",-0.361862290672405,-0.409180086140941,-0.191820800383093,-0.200815648950242,-0.627126507925247,-0.540190131860866,0.132227437645072,-0.496159542993161,-0.38431920411658,-0.683742751290033,-0.607408526335762
"SUSD3",-0.235461442952144,-0.186487170930686,-0.202908211968785,-0.235461442952144,-0.235461442952144,-0.235461442952144,0.00504144314163178,-0.119844932231329,-0.235461442952144,0.510879426886843,-0.235461442952144
"SV2C",0.959246487324587,0.148988859861983,0.458075038991523,0.149939851558364,0.0922558741323238,0.95760591866525,2.14707223179372,0.764553080029767,0.619804158998454,-0.157800735922122,-0.157800735922122
"SYK",-0.284794736040304,-0.0507411092500056,0.0730574867049789,-0.0917880660688982,-0.249357895793182,-0.239509664539228,0.668320176453818,0.554200077133938,-0.312297048280488,-0.312297048280488,-0.312297048280488
"SYNGR1",0.00324147736647069,-0.32506454199652,0.0173578371619062,-0.208777126148805,-0.195114530166864,-0.33379153503591,-0.227573320996425,0.0363738449884303,-0.18020943444926,0.725544087991436,-0.443873882152861
"SYNPO2",-0.42774483455031,-0.358089997387454,-0.447494346771514,-0.447276801755682,-0.345576904397654,-0.444248113114798,-0.317083295292977,-0.0590076890496959,-0.311036130181609,-0.296969376802908,-0.462523747848555
"SYT10",-0.311373703207368,0.262291521126115,-0.103995477862684,0.148689806203319,0.0376110336581382,0.503083710567707,0.128993383321912,-0.175666191707185,0.627942916969897,-0.311373703207368,-0.210329439132261
"SYT2",-0.0708604375987746,-0.0708604375987746,-0.0708604375987746,0.015307467972168,-0.0708604375987746,-0.0708604375987746,-0.0708604375987746,0.23821643722538,-0.0708604375987746,-0.0708604375987746,-0.0708604375987746
"TAAR5",-0.0240894377353572,-0.0240894377353572,-0.0240894377353572,-0.0240894377353572,-0.0240894377353572,-0.0240894377353572,-0.0240894377353572,3.32311970320823,-0.0240894377353572,-0.0240894377353572,-0.0240894377353572
"TAC1",-0.0825496404626281,0.132704137507873,-0.0825496404626281,-0.0825496404626281,0.653851610661488,-0.0825496404626281,-0.0825496404626281,0.312722120547565,2.43808776965303,-0.0825496404626281,-0.0825496404626281
"TAC4",-0.199988563604676,-0.066932971732712,-0.093122234120698,0.18268425415421,-0.191278686292432,-0.186671345600577,-0.215919713038141,-0.0811704289696339,0.247702151568632,-0.215919713038141,-0.215919713038141
"TACC3",-0.355587960551839,-0.255228009965368,-0.207359799578549,-0.231686709632393,-0.32280696046959,-0.333990581708564,-0.370736167524501,-0.326020899013996,-0.370736167524501,-0.370736167524501,-0.370736167524501
"TACSTD2",-0.162085421743201,-0.0863363396938928,-0.162085421743201,0.0982467423837242,-0.162085421743201,-0.162085421743201,0.0330029111513812,-0.162085421743201,-0.162085421743201,-0.162085421743201,-0.162085421743201
"TAGAP",-0.258691940947305,-0.247449724237336,-0.184585400784662,-0.249610210677868,-0.190390206714793,-0.258691940947305,-0.258691940947305,-0.1872267899032,-0.20932582551289,0.00176062397672719,-0.258691940947305
"TAGLN",-0.316424605165283,-0.322379817846388,-0.286261051811202,-0.0137074793425151,-0.343134086452937,-0.328212598359316,-0.0657419714710042,-0.213506767170761,-0.343134086452937,0.28683338579464,-0.343134086452937
"TAGLN2",-0.822224756774868,-0.827239861188316,-0.527947996097002,-0.592023711237101,-0.75623051658216,-0.29228798839249,-0.699198313452456,-0.78500625063852,-0.835668426360386,0.0605813241878032,-0.373133960450066
"TAGLN3",0.625969002444893,1.20775520089979,1.37453471467042,0.879204080169971,1.1799992209766,1.08361250313869,0.553797766015837,0.143103590591793,0.719663635915314,0.386777372157509,-0.0794024447194471
"TAL1",-0.144080160610575,-0.155444844855663,-0.109967739803074,-0.152235536506516,-0.116284868858179,-0.163784728911377,-0.163784728911377,0.903836418822289,-0.163784728911377,-0.163784728911377,-0.163784728911377
"TAS2R30",-0.0244242616853374,-0.0244242616853374,-0.0244242616853374,-0.0244242616853374,-0.0244242616853374,-0.0244242616853374,-0.0244242616853374,0.502450844083877,-0.0244242616853374,-0.0244242616853374,-0.0244242616853374
"TBX19",0.619975345442916,-0.0943109357867655,0.0214395234847607,-0.0441356992598017,0.0476243525175166,0.215693163229621,-0.155404968695101,-0.261926062285483,-0.312756526526052,-0.272542198142221,-0.312756526526052
"TBX21",-0.0449792948710298,-0.0449792948710298,-0.0449792948710298,-0.0449792948710298,-0.0449792948710298,-0.0449792948710298,-0.0449792948710298,2.31829639661266,-0.0449792948710298,-0.0449792948710298,-0.0449792948710298
"TBX3",-0.468250448738623,-0.28421229806528,-0.320183482597927,-0.41534801347237,-0.397642660441935,-0.453212202121319,-0.415349464896806,-0.276399181471805,-0.495192638366065,-0.552785312280061,-0.528028865132058
"TBXAS1",-0.265678885800137,-0.218669647896164,-0.0462324008149838,-0.236154996065138,-0.265678885800137,-0.151869977990021,-0.0340545016480576,-0.0547207315416047,-0.265678885800137,-0.265678885800137,-0.265678885800137
"TCEAL6",-0.64865930417052,-0.267341546126211,-0.306880899261969,-0.101544012081309,-0.199223706957785,-0.321061879975244,0.196961324646877,-0.00473493607936264,0.151970992842986,0.355643563101732,-0.323993971788469
