"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"LINC00399",-0.0426552699143981,-0.0426552699143981,-0.0426552699143981,-0.0426552699143981,-0.0426552699143981,-0.0426552699143981
"LINC00426",-0.0281266132910359,-0.0281266132910359,-0.0281266132910359,-0.0281266132910359,-0.0281266132910359,-0.0281266132910359
"LINC00461",-0.0896814392028836,0.303020245854133,-0.0896814392028836,0.140533044225989,-0.00861892775624758,-0.0896814392028836
"LINC00463",-0.0270975303040553,-0.0270975303040553,-0.0270975303040553,-0.0270975303040553,-0.0270975303040553,-0.0270975303040553
"LINC00473",-0.296376614452317,0.487446656162019,-0.261925084015061,0.44558052863093,0.101678893739568,0.381242222687202
"LINC00491",-0.0279864685426496,-0.0279864685426496,-0.0279864685426496,-0.0279864685426496,-0.0279864685426496,-0.0279864685426496
"LIN28B-AS1",-0.0397762809660926,-0.0397762809660926,-0.0397762809660926,-0.0397762809660926,-0.0397762809660926,-0.0397762809660926
"LINC00607",-0.0625531015872769,-0.0625531015872769,-0.0625531015872769,-0.0625531015872769,-0.0625531015872769,-0.0625531015872769
"LINC00616",-0.0699020447950224,-0.0699020447950224,-0.0699020447950224,0.00745206861261009,-0.0699020447950224,1.30556181227838
"LINC00632",0.709687954470731,0.981691015467477,0.908249682731494,1.14435271167133,1.33498769992467,1.40505342758844
"LINC00637",-0.0380513202710861,-0.0380513202710861,-0.0380513202710861,-0.0380513202710861,-0.0380513202710861,-0.0380513202710861
"LINC00643",0.257211895713879,0.764849414009737,0.855580334167612,0.938183968648015,1.03482317043303,0.732595753465218
"LINC00668",-0.0798342532564207,-0.0798342532564207,-0.0798342532564207,-0.0798342532564207,-0.0798342532564207,-0.0798342532564207
"MIR924HG",-0.15902647615008,-0.15902647615008,-0.15902647615008,-0.0947637390371429,-0.15902647615008,-0.15902647615008
"LINC00702",-0.0265516469954795,-0.0265516469954795,-0.0265516469954795,-0.0265516469954795,-0.0265516469954795,-0.0265516469954795
"LINC00842",-0.0638650710161084,-0.0638650710161084,-0.0638650710161084,-0.0638650710161084,-0.0638650710161084,-0.0638650710161084
"LINC00853",-0.0900866269551865,-0.0900866269551865,0.0784727084389104,-0.0900866269551865,-0.0900866269551865,-0.0900866269551865
"LINC00861",0.217299880412296,-0.0979043297185289,-0.0829575147381455,-0.0979043297185289,0.0946683923339062,-0.0979043297185289
"LINC00908",-0.197682026095065,-0.197682026095065,-0.179936105247853,-0.197682026095065,-0.118874474554792,-0.197682026095065
"LINC00911",-0.0451084657077094,-0.0451084657077094,-0.0451084657077094,-0.0451084657077094,-0.0451084657077094,-0.0451084657077094
"LINC00930",-0.0580829368983906,0.397937255822284,-0.0580829368983906,-0.0580829368983906,-0.0580829368983906,0.491930738900891
"LINC00958",-0.0772823110137299,-0.0772823110137299,0.105941003731974,-0.0427457884193293,-0.0772823110137299,-0.0772823110137299
"LINC00977",-0.0326097424608617,-0.0326097424608617,-0.0326097424608617,-0.0326097424608617,-0.0326097424608617,-0.0326097424608617
"LINC00996",-0.133154874627543,-0.133154874627543,-0.12559192073707,-0.111213350933561,-0.133154874627543,-0.133154874627543
"PURPL",-0.0322304429581807,-0.0322304429581807,-0.0322304429581807,-0.0322304429581807,0.189293058173976,-0.0322304429581807
"LINC01053",-0.0289136546574555,-0.0289136546574555,-0.0289136546574555,-0.0289136546574555,-0.0289136546574555,-0.0289136546574555
"LINC01101",-0.0760114398199379,-0.0760114398199379,-0.0760114398199379,-0.0760114398199379,-0.0760114398199379,-0.0760114398199379
"LINC01104",-0.0370208522521355,-0.0370208522521355,-0.0370208522521355,-0.0370208522521355,-0.0370208522521355,-0.0370208522521355
"SILC1",-0.0049085260371462,1.32509329383453,1.85147656442944,0.948100570339579,1.64438287702336,1.14301801780321
"LINC01126",-0.0353586104960655,0.263995773518872,-0.0353586104960655,-0.0353586104960655,-0.0353586104960655,-0.0353586104960655
"PANTR1",-0.114446825450488,1.54283244176113,-0.114446825450488,0.151799315291359,0.0257408117948217,0.0169865315558087
"LINC01208",-0.0359401583760373,-0.0359401583760373,-0.0359401583760373,-0.0359401583760373,-0.0359401583760373,-0.0359401583760373
"LINC01224",-0.11913613803351,-0.11913613803351,-0.11913613803351,-0.0706449202553998,0.331006753586015,-0.11913613803351
"LINC01229",-0.0422222121771823,-0.0422222121771823,0.322949504629261,-0.0422222121771823,-0.0422222121771823,-0.0422222121771823
"PELATON",-0.123167111796726,-0.123167111796726,-0.111788243730646,0.108922474149227,-0.123167111796726,-0.123167111796726
"LINC01285",-0.0341097153146762,-0.0341097153146762,-0.0341097153146762,-0.0341097153146762,-0.0341097153146762,-0.0341097153146762
"LINC01324",-0.0283498754021132,-0.0283498754021132,-0.0283498754021132,-0.0283498754021132,-0.0283498754021132,-0.0283498754021132
"LINC01474",-0.0328812905375789,-0.0328812905375789,-0.0328812905375789,-0.0328812905375789,-0.0328812905375789,-0.0328812905375789
"LINC01497",-0.0391983691423004,-0.0391983691423004,-0.0391983691423004,-0.0391983691423004,-0.0391983691423004,-0.0391983691423004
"LINC01506",-0.0675724523703927,-0.0675724523703927,-0.0675724523703927,-0.0675724523703927,-0.0675724523703927,-0.0675724523703927
"LINC01508",-0.0452923315785074,-0.0452923315785074,-0.0452923315785074,-0.0452923315785074,-0.0452923315785074,-0.0452923315785074
"LINC01607",-0.0176794444777095,0.616105097039473,0.365749939934399,-0.00118704754470894,0.364808434783913,-0.22017170987714
"LIX1",-0.290542514484429,-0.194840386325252,-0.269590061398382,-0.152277451655108,-0.237484990025467,-0.251043875985299
"LMNTD2",-0.0491516286632721,-0.0491516286632721,-0.0491516286632721,-0.0491516286632721,0.0262604870687202,-0.0491516286632721
"LMO2",-0.251316585058666,-0.219212234782385,-0.221439929627618,-0.179873915880454,-0.251316585058666,-0.251316585058666
"LMO7",-0.234586644976156,-0.313305412835822,-0.142246633685583,-0.139427815560081,-0.363506441538299,-0.334810890897924
"LMOD1",-0.0949130536262217,-0.0949130536262217,-0.0949130536262217,0.00402742765379023,-0.00430160905325284,-0.0949130536262217
"LMX1A",-0.110084115012082,-0.110084115012082,-0.110084115012082,-0.00491062122377644,-0.110084115012082,-0.110084115012082
"CERNA1",-0.155624218145085,0.537281550451808,0.33297883495588,0.495904886440198,-0.0563734677036248,0.661847724403264
"LPAR6",-0.472000985951918,-0.481566362788176,-0.523931105013302,-0.524655986349305,-0.237695189561493,-0.579453378747744
"LPCAT2",-0.230432761941393,-0.184869355073964,-0.199541052120436,-0.214260279559856,-0.033500781937167,-0.230432761941393
"LPL",-0.166599331315915,-0.166599331315915,-0.0833592714365265,-0.166599331315915,-0.166599331315915,-0.166599331315915
"LRG1",-0.136972328038419,-0.136972328038419,-0.136972328038419,-0.136972328038419,-0.136972328038419,-0.136972328038419
