"","timepoints4","timepoints5","timepoints6","timepoints7","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"APOC1",-0.290907341527403,0.0800111659675847,0.050398947002926,0.0961265976667141,-0.316301730679347,0.160059418747197,-0.17674840333076,-0.316301730679347,-0.188266911119896,-0.0852226773423455,-0.304470229290352,-0.137612938753193
"APOD",-0.465593700383845,-0.472148168595584,-0.472148168595584,-0.432851033203715,-0.314240102796643,-0.389400170040058,-0.440808940576194,-0.472148168595584,-0.44906636115686,-0.402004255283836,-0.401593808930189,-0.384397870548445
"APOE",-0.28185605373226,-0.111456309891968,0.761204907793799,-0.244290232337684,-0.307048520262674,-0.0320216386148004,-0.270753522613217,-0.134668282051404,-0.224087208869402,-0.0616512831008251,-0.163118935090283,-0.307048520262674
"APOLD1",0.0114589594877176,-0.374928182913212,-0.390527001834938,-0.390527001834938,-0.390527001834938,-0.337341061533572,0.146215962200489,-0.390527001834938,-0.179434391075559,-0.265620114765454,-0.0626767511570048,-0.194205655797475
"AQP1",-0.106684788860242,-0.106684788860242,-0.0276639650788574,0.407937232123128,-0.106684788860242,-0.106684788860242,-0.106684788860242,0.0433382602398443,-0.106684788860242,-0.106684788860242,0.447880104916143,-0.106684788860242
"AQP4",-0.102596097870496,-0.102596097870496,1.03739101060841,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.0546941744085893,-0.102596097870496,-0.102596097870496,0.108820263722992,-0.0770697217456049,-0.0275600402841277
"ARFIP2",-0.428424241440112,0.41649179135495,0.74026829105147,-0.772452561785866,-0.110742893979318,0.2800529259481,-0.161205166871913,-0.136194799579467,0.295183269660825,-0.137461968759754,0.414808184375034,0.270163104221672
"ARG2",-0.0723619183803055,0.236211584358974,0.27456801664646,0.0627714323206942,-0.0936061401869214,-0.172781032491277,0.234913430864484,0.444827988042329,-0.148602036084484,1.00521741132562,0.686591141402738,0.894989343084451
"ARHGAP11A",-0.0643210658081025,-0.227742120175509,-0.0063896263280019,-0.227742120175509,-0.227742120175509,-0.227742120175509,-0.0459504658311565,-0.227742120175509,-0.147944610532179,-0.12174532587063,0.103307291183314,-0.145646650012499
"ARHGAP11B",-0.104643324945844,-0.104643324945844,0.294465953661669,-0.104643324945844,-0.104643324945844,0.328170989169288,-0.104643324945844,-0.104643324945844,-0.054717902294567,-0.104643324945844,-0.104643324945844,-0.104643324945844
"ARHGAP15",-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.100507225559208,-0.177998524417822,-0.162592027580645,-0.162191375897351,-0.186759471747397
"ARHGAP18",-0.119585825401556,-0.355283541099236,-0.345214136725309,-0.344413663794408,0.269227159254061,-0.216986153726633,-0.270393024884427,-0.386397868093369,-0.160024090482536,-0.268179927966781,0.0187156030928478,0.0506740022120821
"ARHGAP19",-0.026645329445084,0.0246946681159122,-0.213413010383202,-0.213413010383202,-0.104083786311079,-0.213413010383202,-0.213413010383202,0.552106893650809,0.121648025761552,-0.00973436721483586,0.13229166020903,-0.0937132576974328
"ARHGAP26-AS1",-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269
"ARHGAP36",0.129959984917207,0.263046462076981,0.0995191329152329,1.76929899610035,0.0126442164167515,0.0751257885873642,0.866622095679335,1.38496912732022,1.65693497424021,1.01944676890429,2.08205578893629,2.0104775436986
