"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"MCAM",-0.369518031866531,-0.176455194092922,-0.342298978974644,-0.332558000387292,-0.403847533982862,-0.403847533982862,-0.361215477107122,-0.292288008987113,-0.0548180432107345,-0.403847533982862
"MCEMP1",-0.0598096158609887,-0.0765517207567221,-0.0954139232510393,-0.0954139232510393,-0.0954139232510393,-0.0954139232510393,-0.0426615749217386,-0.0954139232510393,-0.0954139232510393,-0.0954139232510393
"MCFD2",0.458434042178914,0.0318036862312113,0.192455802466368,0.0734362924957144,-0.0281993590532375,0.372677101104671,0.266536363818014,0.0700019068589154,0.229524044082241,0.248046842580425
"MEF2C",-0.241236792472879,-0.179819691065977,-0.276933211502165,-0.326467065754235,-0.565183598859115,0.25824032800898,-0.493816693845414,-0.460499438390441,-0.507410400027185,-0.365812233544887
"MEG3",0.655714169595097,0.521298616359346,-0.126011596804135,0.500475328787681,0.328437408630182,0.986593158716525,0.855103154665249,0.16430415991125,1.0440049889974,0.415733303882547
"MEI4",-0.0378516416740834,0.0799524885391133,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834
"MELK",-0.0824779322413271,-0.0823191992525023,-0.155266040049177,-0.141160512263389,-0.340947675265317,-0.340947675265317,-0.301326987412799,-0.225878100253691,-0.235308441872378,-0.0653563870139304
"LINC02587",0.0438610856876072,-0.0461294395272364,-0.0461294395272364,0.401101284900142,-0.0461294395272364,-0.0461294395272364,-0.0461294395272364,0.403729845602812,-0.0461294395272364,-0.0461294395272364
"MEPE",-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095
"MESP1",-0.164885026225065,0.206428878793147,-0.209824558671813,0.686279506540122,0.109340738787677,-0.209824558671813,0.514043515649232,0.141338281362839,-0.209824558671813,0.706547111101346
"MESP2",-0.0388648026305008,-0.0284287087873777,0.515248549319665,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008
"METAP1D",-0.0649127613425289,-0.0678317172586084,-0.031932190897899,-0.130933192165492,-0.130933192165492,-0.130933192165492,-0.130933192165492,-0.0899507893850494,-0.130933192165492,-0.130933192165492
"METRNL",-0.219768679462774,-0.183011429477564,-0.222601598299427,-0.263281488796237,-0.288230157137652,-0.288230157137652,-0.160975381504993,-0.100068040893784,-0.209135081180614,-0.288230157137652
"MFAP5",-0.0251223369995918,-0.0651301875614554,-0.0782292185496138,0.132952476526949,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138
"MFGE8",-0.101570661019012,0.522950638079376,0.783546056464696,-0.0908592509917742,-0.373866341735282,-0.00239085323763615,-0.191420741808818,-0.208520194405487,-0.0210476950322061,-0.373866341735282
"MGARP",-0.134623737752205,0.00556283891728681,-0.134623737752205,0.144590595600714,-0.134623737752205,-0.134623737752205,-0.134623737752205,-0.134623737752205,-0.134623737752205,-0.134623737752205
"MGAT4EP",-0.033258996529716,-0.0223370362993092,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716
"MGP",-0.521692237107458,-0.499673018259932,-0.458904785307448,-0.47098370002112,-0.528843843828738,-0.290615025872163,-0.519139003779936,-0.363199014422484,-0.422093537858809,-0.426806770617149
"MGST1",0.059065530851408,-0.101043484025302,0.293689356016182,-0.0950346786245679,-0.235933006834955,-0.235933006834955,-0.22094173760233,-0.235933006834955,-0.153997204077989,-0.0167121011160534
"MIAT",-0.371127661231885,-0.337155671634734,-0.497278129119904,-0.484885489135444,-0.544315230181431,-0.309691212545083,-0.442345845671324,-0.441811816005653,-0.453334164325896,-0.444975351737524
"MICAL2",-0.0961296507244571,0.045978307726752,-0.144674964915459,-0.0421101048104343,-0.144674964915459,-0.144674964915459,0.114276750957156,-0.0958066643132555,-0.144674964915459,-0.144674964915459
"S100A9",0.273876683287872,-0.262292198340185,-0.0256066774136076,-0.148044010842506,-0.331064157935931,-0.299315910531186,-0.0928982918603782,-0.276493516929872,-0.301405396926341,-0.254120753582719
"MIP",-0.0606273073305506,-0.0840750334812485,-0.0840750334812485,0.302765252127053,-0.0840750334812485,-0.0840750334812485,-0.0840750334812485,-0.0840750334812485,-0.0840750334812485,-0.0840750334812485
"MIS18BP1",0.0174016567468008,0.0990002752886372,-0.248155828986345,-0.443558035760558,-0.679029283960824,-0.446986100200349,-0.58728661651603,-0.631619145579767,-0.642262633356473,-0.150384590472979
"MITF",0.25214283808953,1.19036555479834,1.47655903820934,0.783184826865235,2.64320662742891,-0.324418204676188,0.197801567641749,0.379978883835089,-0.324418204676188,0.493466927980229
"MKI67",-0.101436240009342,-0.0823369201563761,0.23194761319316,-0.185483568549851,-0.259225963131059,-0.259225963131059,-0.224823143421046,-0.259225963131059,-0.259225963131059,-0.259225963131059
"MLLT11",-0.253516008979861,0.0136907433438346,-0.249173949807193,-0.22965714342001,0.241436199465147,-0.227453924001721,-0.555235355598027,-0.628027944225716,-0.475864915558707,-0.456688623413441
"MMP19",-0.0735336449933211,-0.0379454098927528,-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,0.114580750875175
"MMP9",-0.152774212936752,-0.152774212936752,-0.0198415436432206,-0.152774212936752,-0.152774212936752,-0.152774212936752,-0.113009387906901,-0.0637933222498818,-0.152774212936752,-0.0649118423947624
"MMRN1",-0.0762582688548939,-0.0879904915688827,-0.112151635771546,-0.0594063664697685,-0.112151635771546,-0.0293968304461072,-0.112151635771546,-0.112151635771546,-0.112151635771546,-0.112151635771546
