"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CHGA",-1.00120547896373,-0.580234968123427,-0.138757416057088,-0.160245058790776,-0.649076522612903,-0.603187369455395,0.137056931940811,-0.52322321354347
"CHGB",-0.907857455656445,-0.639488340253316,-0.483840667512682,-0.442915999740474,-0.879950864390927,-0.868067441944666,0.38556495586693,-0.52911247940902
"CHI3L2",-0.063513552555918,-0.063513552555918,-0.063513552555918,-0.063513552555918,-0.063513552555918,-0.063513552555918,-0.063513552555918,-0.063513552555918
"CHMP4B",-0.0780270891232653,-0.280562799362729,-0.194220607243304,0.0470864944242467,0.0911910449931783,-0.303163957741038,-0.303163957741038,-0.303163957741038
"CHRDL2",-0.0460450585622467,-0.0460450585622467,-0.0460450585622467,-0.0460450585622467,-0.0460450585622467,-0.0460450585622467,-0.0460450585622467,-0.0460450585622467
"CHRNB4",-0.0641698568815974,-0.0641698568815974,-0.0641698568815974,0.447694308314155,-0.0641698568815974,-0.0641698568815974,-0.0641698568815974,-0.0641698568815974
"CHST5",-0.0873167552237027,-0.0873167552237027,-0.00555538018755881,-0.0873167552237027,-0.0873167552237027,-0.0873167552237027,-0.0873167552237027,-0.0873167552237027
"CHST9",1.09981750598544,1.4874635659649,0.621303319873418,1.12693674966289,0.391911499401699,2.05634119739559,-0.196824021539441,-0.307548606994629
"CIDEA",-0.0393774669305534,-0.0393774669305534,-0.0393774669305534,-0.0393774669305534,-0.0393774669305534,-0.0393774669305534,-0.0393774669305534,-0.0393774669305534
"CILP",-0.111628241903085,-0.0825457949528708,-0.111628241903085,-0.111628241903085,-0.111628241903085,-0.111628241903085,1.91069740647753,-0.111628241903085
"CITED1",-0.439452697060991,-0.349657277207578,-0.421192258464297,-0.357776267207854,-0.153989043573004,-0.1881150239751,-0.419057097490969,0.284527990798358
"CKAP2",2.09737437648931,1.96328138534466,2.67897776723654,3.11437665684112,1.74758088170453,2.45819914000294,2.62436716808831,4.71147742873536
