"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"O75369","FLNB","ENSG00000136068","2317","protein-coding"
"P02671","FGA","ENSG00000171560","2243","protein-coding"
"P02745","C1QA","ENSG00000173372","712","protein-coding"
"P04279","SEMG1","ENSG00000124233","6406","protein-coding"
"Q15848","ADIPOQ","ENSG00000181092","9370","protein-coding"
"Q9NYF8","BCLAF1","ENSG00000029363","9774","protein-coding"
"Q8NFJ8","BHLHE22","ENSG00000180828","27319","protein-coding"
"Q9UKM9","RALY","ENSG00000125970","22913","protein-coding"
"P31275","HOXC12","ENSG00000123407","3228","protein-coding"
"P14651","HOXB3","ENSG00000120093","3213","protein-coding"
"P23588","EIF4B","ENSG00000063046","1975","protein-coding"
"O00571","DDX3X","ENSG00000215301","1654","protein-coding"
"P00441","SOD1","ENSG00000142168","6647","protein-coding"
"Q5JVS0","HABP4","ENSG00000130956","22927","protein-coding"
"Q9C0C2","TNKS1BP1","ENSG00000149115","85456","protein-coding"
"Q8IXZ3","SP8","ENSG00000164651","221833","protein-coding"
"P48634","PRRC2A","ENSG00000204469","7916","protein-coding"
"P48634","PRRC2A","ENSG00000231370","7916","protein-coding"
"P48634","PRRC2A","ENSG00000226618","7916","protein-coding"
"P48634","PRRC2A","ENSG00000206427","7916","protein-coding"
"P48634","PRRC2A","ENSG00000231825","7916","protein-coding"
"P48634","PRRC2A","ENSG00000225748","7916","protein-coding"
"P48634","PRRC2A","ENSG00000225164","7916","protein-coding"
"O95409","ZIC2","ENSG00000043355","7546","protein-coding"
"P14866","HNRNPL","ENSG00000104824","3191","protein-coding"
"P14866","HNRNPL","ENSG00000282947","3191","protein-coding"
"Q8NFD5","ARID1B","ENSG00000049618","57492","protein-coding"
"O94913","PCF11","ENSG00000165494","51585","protein-coding"
"Q96EP5","DAZAP1","ENSG00000071626","26528","protein-coding"
"Q9H3H9","TCEAL2","ENSG00000184905","140597","protein-coding"
"Q2TAM9","TUSC1","ENSG00000198680","286319","protein-coding"
"Q7Z5L3","C1QL2","ENSG00000144119","165257","protein-coding"
"Q15424","SAFB","ENSG00000160633","6294","protein-coding"
"O60884","DNAJA2","ENSG00000069345","10294","protein-coding"
"P12111","COL6A3","ENSG00000163359","1293","protein-coding"
"O00570","SOX1","ENSG00000182968","6656","protein-coding"
"P22105","TNXB","ENSG00000168477","7148","protein-coding"
"P22105","TNXB","ENSG00000229341","7148","protein-coding"
"P22105","TNXB","ENSG00000229353","7148","protein-coding"
"P22105","TNXB","ENSG00000236221","7148","protein-coding"
"P22105","TNXB","ENSG00000231608","7148","protein-coding"
"P22105","TNXB","ENSG00000206258","7148","protein-coding"
"P22105","TNXB","ENSG00000236236","7148","protein-coding"
"P22105","TNXB","ENSG00000233323","7148","protein-coding"
"Q8N7J2","AMER2","ENSG00000165566","219287","protein-coding"
"Q6ZN18","AEBP2","ENSG00000139154","121536","protein-coding"
"Q14151","SAFB2","ENSG00000130254","9667","protein-coding"
"Q96DT7","ZBTB10","ENSG00000205189","65986","protein-coding"
"Q8IVF2","AHNAK2","ENSG00000185567","113146","protein-coding"
"P20264","POU3F3","ENSG00000198914","5455","protein-coding"
"Q9P2E9","RRBP1","ENSG00000125844","6238","protein-coding"
"P05204","HMGN2","ENSG00000198830","3151","protein-coding"
"P20265","POU3F2","ENSG00000184486","5454","protein-coding"
"Q9BWW4","SSBP3","ENSG00000157216","23648","protein-coding"
"P61129","ZC3H6","ENSG00000188177","376940","protein-coding"
"Q5T089","MORN1","ENSG00000116151","79906","protein-coding"
"Q9ULX6","AKAP8L","ENSG00000011243","26993","protein-coding"
"Q14247","CTTN","ENSG00000085733","2017","protein-coding"
"Q14247","CTTN","ENSG00000288401","2017","protein-coding"
"Q96A84","EMID1","ENSG00000186998","129080","protein-coding"
"Q13316","DMP1","ENSG00000152592","1758","protein-coding"
"P35663","CYLC1","ENSG00000183035","1538","protein-coding"
"Q5JSZ5","PRRC2B","ENSG00000288701","84726","protein-coding"
"O75444","MAF","ENSG00000178573","4094","protein-coding"
"Q9NTZ6","RBM12","ENSG00000244462","10137","protein-coding"
"Q8WXH2","JPH3","ENSG00000154118","57338","protein-coding"
"Q92522","H1-10","ENSG00000184897","8971","protein-coding"
"Q13247","SRSF6","ENSG00000124193","6431","protein-coding"
"P15923","TCF3","ENSG00000071564","6929","protein-coding"
"P02686","MBP","ENSG00000197971","4155","protein-coding"
"Q8NFC6","BOD1L1","ENSG00000038219","259282","protein-coding"
"P25490","YY1","ENSG00000100811","7528","protein-coding"
"Q5TCQ9","MAGI3","ENSG00000081026","260425","protein-coding"
"O00602","FCN1","ENSG00000085265","2219","protein-coding"
"P19012","KRT15","ENSG00000171346","3866","protein-coding"
"O14497","ARID1A","ENSG00000117713","8289","protein-coding"
"Q06587","RING1","ENSG00000204227","6015","protein-coding"
"Q06587","RING1","ENSG00000228520","6015","protein-coding"
"Q06587","RING1","ENSG00000235107","6015","protein-coding"
"Q06587","RING1","ENSG00000226788","6015","protein-coding"
"Q06587","RING1","ENSG00000206287","6015","protein-coding"
"Q06587","RING1","ENSG00000231115","6015","protein-coding"
"Q9UJV8","PURG","ENSG00000172733","29942","protein-coding"
"Q9HDC5","JPH1","ENSG00000104369","56704","protein-coding"
"Q7Z407","CSMD3","ENSG00000164796","114788","protein-coding"
"P17275","JUNB","ENSG00000171223","3726","protein-coding"
"Q15768","EFNB3","ENSG00000108947","1949","protein-coding"
"Q96T37","RBM15","ENSG00000162775","64783","protein-coding"
"O15117","FYB1","ENSG00000082074","2533","protein-coding"
"P62995","TRA2B","ENSG00000136527","6434","protein-coding"
"Q9Y566","SHANK1","ENSG00000161681","50944","protein-coding"
"Q8TEW8","PARD3B","ENSG00000116117","117583","protein-coding"
"Q13242","SRSF9","ENSG00000111786","8683","protein-coding"
"Q96EI5","TCEAL4","ENSG00000133142","79921","protein-coding"
"Q5VTL8","PRPF38B","ENSG00000134186","55119","protein-coding"
"Q86X95","CIR1","ENSG00000138433","9541","protein-coding"
