"","pearson","gene","cluster"
"324",1,"DCT",5
"364",1,"DLX1",5
"416",1,"FALEC",5
"424",1,"FAM87B",5
"444",1,"FGF8",5
"454",1,"FGFBP2",5
"484",1,"GABRA1",5
"494",1,"GABRA3",5
"544",1,"GSC",5
"554",1,"GSTA7P",5
"564",1,"H1-5",5
"594",1,"HES7",5
"616",1,"IL17RE",5
"624",1,"IL21R",5
"634",1,"KCNA1",5
"663",1,"KCNQ4",5
"693",1,"KRTDAP",5
"715",1,"LCK",5
"723",1,"LEF1-AS1",5
"743",1,"LINC00399",5
"753",1,"LINC00461",5
"763",1,"LINC00637",5
"773",1,"LINC00668",5
"793",1,"LURAP1L-AS1",5
"816",1,"MEI4",5
"823",1,"MGAT4EP",5
"833",1,"MT1H",5
"863",1,"MYO18B",5
"883",1,"NKX3-2",5
"923",1,"PAPOLB",5
"953",1,"PITRM1-AS1",5
"963",1,"POF1B",5
"983",1,"POM121L8P",5
"993",1,"PPBP",5
"1003",1,"PRLH",5
"1033",1,"PTCRA",5
"1043",1,"PURPL",5
"1053",1,"PVRIG",5
"1073",1,"RAB37",5
"1083",1,"RGR",5
"1123",1,"RPSAP52",5
"1133",1,"SELENOV",5
"1143",1,"SMIM24",5
"1153",1,"SOX1",5
"1173",1,"TDRD12",5
"1183",1,"TERT",5
"1193",1,"TMPRSS13",5
"1216",1,"UBOX5-AS1",5
"1233",1,"ZNF341-AS1",5
"1253",1,"ZNF729",5
"174",0.99,"ABCA4",5
"417",0.99,"ALPK1",5
"716",0.99,"ASB2",5
"873",0.99,"NKAIN3",5
"617",0.98,"APOBR",5
"434",0.98,"FGF13-AS1",5
"1163",0.98,"SOX17",5
"404",0.97,"ESM1",5
"1023",0.97,"PRR15",5
"1243",0.97,"ZNF385B",5
"374",0.96,"DLX6",5
"217",0.95,"CDH23",5
"274",0.94,"CRTAM",5
"304",0.93,"CYP11A1",5
"334",0.93,"DIRC1",5
"574",0.92,"HBE1",5
"933",0.92,"PCDHA10",5
"516",0.91,"GDF3",5
"584",0.91,"HES5",5
"604",0.91,"HTR2C",5
"943",0.91,"PHOSPHO1",5
"1015",0.91,"PRR11",5
"354",0.9,"DLGAP4-AS1",5
"843",0.88,"MUC16",5
"384",0.87,"DPH3P1",5
"504",0.87,"GASK1A",5
"733",0.85,"LILRB4",5
"517",0.84,"ANKRD1",5
"1093",0.84,"RGS5",5
"1103",0.83,"RHBDF2",5
"783",0.82,"LINC01101",5
"973",0.82,"POLA2",5
"175",0.8,"CAV1",5
"644",0.8,"KCNH7",5
"915",0.79,"BASP1",5
"1203",0.79,"TREM1",5
"394",0.77,"ENOX2",5
"673",0.77,"KLRC1",5
"803",0.76,"MBNL3",5
"1116",0.76,"RHPN1-AS1",5
"474",0.75,"FREM2",5
"1223",0.75,"VAMP5",5
"344",0.73,"DKK2",5
"853",0.72,"MYH15",5
"903",0.72,"OPCML",5
"653",0.71,"KCNJ8",5
"683",0.71,"KLRD1",5
"703",0.68,"L1TD1",5
"524",0.66,"GIMAP7",5
"1413",0.65,"C21orf62",5
"534",0.65,"GPR183",5
"464",0.64,"FGL2",5
"1063",0.64,"PYY2",5
"893",0.59,"NUMBL",5
"1016",0.53,"BBOX1",5
"916",0.48,"ORAI2",5
"325",0.98,"GPR135",6
"864",0.98,"VSNL1",6
"1414",0.97,"CNMD",6
"255",0.97,"ERBB4",6
"285",0.97,"FCGBP",6
"335",0.97,"GUCA1A",6
"445",0.97,"LGI1",6
"485",0.97,"MST1R",6
"575",0.97,"PCDHGA10",6
"418",0.96,"ITGB8",6
"618",0.96,"PLTP",6
"674",0.96,"PRELP",6
"804",0.96,"SRRM4",6
"854",0.96,"TTC4",6
"245",0.95,"EPB41",6
"595",0.95,"PLEKHA4",6
"375",0.94,"HPGDS",6
"505",0.94,"MYL4",6
"605",0.94,"PLSCR2",6
"844",0.94,"TSSK3",6
"684",0.92,"PRSS12",6
"774",0.92,"SCIN",6
"1514",0.91,"CXCR4",6
"265",0.91,"FAM20C",6
"518",0.91,"MYO10",6
"318",0.9,"GPM6A",6
"654",0.89,"PPP1R1A",6
"664",0.89,"PPP2R2B",6
"275",0.88,"FAM3B",6
"619",0.87,"C8orf34",6
"784",0.87,"SLC11A1",6
"717",0.86,"CACNA1C-AS4",6
"465",0.86,"MITF",6
"817",0.86,"TAGLN2",6
"235",0.85,"EGFL7",6
"425",0.85,"KLHL11",6
"694",0.85,"PTCHD1",6
"1017",0.84,"CCDC39",6
"495",0.84,"MT1G",6
"824",0.82,"TMED3",6
"884",0.82,"ZBTB20-AS4",6
"345",0.81,"HES6",6
"555",0.81,"NRXN1",6
"295",0.8,"GAP43",6
"535",0.8,"NNAT",6
"874",0.8,"VTRNA1-3",6
"818",0.79,"CAD",6
"395",0.79,"IFI16",6
"565",0.78,"NUPR2",6
"724",0.77,"RBP7",6
"455",0.76,"MAD2L1",6
"405",0.75,"IL17RB",6
"834",0.75,"TNFRSF1B",6
"1613",0.74,"DAB2",6
"645",0.73,"PPP1R17",6
"625",0.72,"POMC",6
"205",0.71,"DTYMK",6
"475",0.71,"MLLT11",6
"305",0.7,"GGH",6
"365",0.68,"HLA-B",6
"734",0.68,"RFC3",6
"525",0.67,"MYO1F",6
"704",0.67,"PTTG1",6
"218",0.66,"ALOX15",6
"585",0.66,"PCLAF",6
"754",0.66,"RGS19",6
"225",0.64,"ECSCR",6
"744",0.64,"RGS16",6
"176",0.63,"ALDH1A2",6
"1117",0.63,"CD163",6
"635",0.63,"PPFIA2",6
"219",0.62,"ECRG4",6
"319",0.61,"ASPM",6
"1217",0.58,"CKAP5",6
"1316",0.58,"CLCN5",6
"195",0.58,"DSG3",6
"794",0.56,"SOD2",6
"385",0.54,"HTATSF1",6
"435",0.54,"KRTCAP2",6
"764",0.53,"RHBDL1",6
"177",0.52,"DEPP1",6
"419",0.51,"C1orf122",6
"545",0.5,"NR4A3",6
"519",0.49,"C4orf48",6
"917",0.47,"CALHM6",6
"185",0.46,"DMAC2L",6
"355",0.45,"HHATL",6
"718",0.45,"RAB3B",6
"220",0.99,"ACP5",7
"2110",0.99,"CST7",7
"256",0.99,"CYSRT1",7
"785",0.99,"PIF1",7
"835",0.99,"PTPRCAP",7
"885",0.99,"SLA2",7
"904",0.99,"SLC22A4",7
"984",0.99,"TRAT1",7
"719",0.98,"CAMTA2",7
"918",0.98,"CCDC17",7
"506",0.98,"HLA-DMB",7
"536",0.98,"IL4I1",7
"745",0.98,"OSR2",7
"944",0.98,"STXBP6",7
"1034",0.98,"ZNF704",7
"705",0.97,"NEURL2",7
"865",0.97,"SCNN1B",7
"1317",0.96,"CD28",7
